hour,load,solar,battery_soc,grid,cost
0,145.0,0.0,48.473684210526315,0,0.0
1,145.0,0.0,46.94736842105263,0,0.0
2,145.0,0.0,45.42105263157894,0,0.0
3,145.0,0.0,43.89473684210525,0,0.0
4,145.0,0.0,42.36842105263157,0,0.0
5,145.0,0.0,40.842105263157876,0,0.0
6,70.0,0.0,40.10526315789472,0,0.0
7,70.0,698.811421776806,46.07897166477438,0,0.0
8,70.0,1349.9999999999998,58.23897166477438,0,0.0
9,70.0,1909.1883092036787,75.71126060220934,0,0.0
10,70.0,2338.2685902179846,97.2598122092802,0,0.0
11,70.0,2607.9997309804844,100.0,0,0.0
12,1270.0,2700.0,100.0,0,0.0
13,1270.0,2607.9997309804844,100.0,0,0.0
14,1270.0,2338.2685902179846,100.0,0,0.0
15,1270.0,1909.1883092036787,100.0,0,0.0
16,1270.0,1349.9999999999998,100.0,0,0.0
17,70.0,698.8114217768068,100.0,0,0.0
18,225.0,3.3065463576978535e-13,97.63157894736842,0,0.0
19,345.0,0.0,94.0,0,0.0
20,1545.0,0.0,77.73684210526316,0,0.0
21,1545.0,0.0,61.473684210526315,0,0.0
22,1425.0,0.0,46.473684210526315,0,0.0
23,145.0,0.0,44.94736842105262,0,0.0
