solar_size_kw,battery_size_kwh,grid_usage_kwh,annual_grid_cost,lifetime_grid_cost,installation_cost,total_lifetime_cost
2,0,2818.6588000428687,830.9117600085738,16618.235200171475,2000,18618.235200171475
2,5,1430.9426846050158,393.94970137222026,7878.994027444405,4500,12378.994027444405
2,10,1282.2001242317765,362.1332181284873,7242.664362569745,7000,14242.664362569745
2,15,1279.9135452844082,361.6363481924617,7232.726963849234,9500,16732.726963849236
2,20,1277.5456505475659,361.07742216278575,7221.548443255715,12000,19221.548443255713
4,0,2332.192331397123,733.6184662794245,14672.36932558849,4000,18672.36932558849
4,5,575.1392934143615,119.75840782266019,2395.1681564532037,6500,8895.168156453205
4,10,28.093591176584546,6.1017908303557835,122.03581660711566,9000,9122.035816607116
4,15,2.1028653362480267,0.4205730672496053,8.411461344992105,11500,11508.411461344993
4,20,0.0,0.0,0.0,14000,14000.0
6,0,2264.321072976783,720.0442145953565,14400.88429190713,6000,20400.884291907132
6,5,496.4416537751871,99.2883307550374,1985.7666151007481,8500,10485.766615100749
6,10,0.0,0.0,0.0,11000,11000.0
6,15,0.0,0.0,0.0,13500,13500.0
6,20,0.0,0.0,0.0,16000,16000.0
8,0,2252.3762018207453,717.6552403641488,14353.104807282976,8000,22353.104807282976
8,5,496.42052631578923,99.28410526315784,1985.6821052631567,10500,12485.682105263157
8,10,0.0,0.0,0.0,13000,13000.0
8,15,0.0,0.0,0.0,15500,15500.0
8,20,0.0,0.0,0.0,18000,18000.0
10,0,2252.05,717.5899999999998,14351.799999999996,10000,24351.799999999996
10,5,496.42052631578906,99.28410526315781,1985.6821052631562,12500,14485.682105263157
10,10,0.0,0.0,0.0,15000,15000.0
10,15,0.0,0.0,0.0,17500,17500.0
10,20,0.0,0.0,0.0,20000,20000.0
